id,male,age,education,party,dealdebt,tea
576,0,23,4,3,1,1
577,0,50,4,2,1,0
578,1,60,1,2,1,1
579,0,45,4,3,3,1
580,0,32,2,1,3,0
581,0,61,4,1,3,0
582,0,62,3,3,3,0
583,0,59,2,3,1,1
584,1,39,2,1,3,0
585,0,40,2,1,1,0
586,1,24,4,1,3,0
587,0,58,3,2,3,0
588,0,61,3,3,1,0
589,1,70,3,2,1,0
590,0,56,4,1,3,0
591,1,51,3,3,3,1
592,0,60,4,3,1,1
593,1,59,4,1,3,0
594,1,69,3,1,3,0
595,1,54,2,2,1,0
596,1,19,3,3,1,1
597,1,57,3,3,1,1
598,0,21,1,2,1,0
599,1,41,4,1,3,0
600,0,42,2,2,1,0
601,1,35,4,2,3,1
602,0,83,3,1,3,0
603,0,77,4,3,1,1
604,0,48,3,1,1,0
605,1,21,2,2,1,0
606,1,65,1,2,3,0
607,0,51,2,2,1,0
608,0,66,2,1,3,0
609,1,42,3,2,1,0
610,1,64,4,2,1,1
611,1,52,4,2,3,0
612,0,55,4,2,3,0
613,0,80,4,2,3,0
614,0,47,3,3,3,0
615,1,69,1,3,1,0
616,1,40,4,3,1,0
617,0,42,4,1,1,0
618,0,79,2,2,1,0
619,0,51,4,2,3,1
620,0,62,3,2,3,0
621,0,52,3,2,1,0
622,0,34,4,2,3,0
623,1,38,3,1,2,0
624,0,58,4,2,1,0
625,0,76,4,2,3,0
626,0,85,2,3,1,1
627,1,55,2,1,3,0
628,1,29,4,1,3,0
629,1,36,2,2,1,1
630,1,80,4,3,1,1
631,0,50,4,1,1,1
632,0,54,3,1,3,0
633,0,49,4,2,1,1
634,0,71,4,1,3,0
635,1,65,4,1,2,0
636,1,48,4,2,1,1
637,1,67,2,1,1,0
638,1,75,2,1,3,1
639,0,64,3,2,3,1
640,0,54,4,3,3,0
641,1,41,2,1,1,0
642,1,48,2,2,3,0
643,0,48,1,1,2,0
644,0,64,4,3,1,1
645,0,52,4,1,1,0
646,0,54,2,2,1,0
647,1,68,4,2,1,1
648,1,37,2,2,1,0
649,1,40,3,2,1,1
650,1,65,3,3,1,1
651,1,47,3,1,3,0
652,1,78,1,1,3,0
653,0,65,2,2,1,1
